dataset_title,dataset_url,dataset_description,resource_label,download_url,saved_path,http_status,bytes,error
ปริมาณการผลิตน้ำมันสำเร็จรูป,https://data.doeb.go.th/th/dataset/s1,ปริมาณการผลิตน้ำมันสำเร็จรูปของผู้ค้าน้ำมันในประเทศไทย ซึ่งเป็นข้อมูลจากผู้ค้าน้ำมันตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543,,,,,0,dataset page error: 502 Server Error: Bad Gateway for url: https://data.doeb.go.th/th/dataset/s1
ปริมาณการนำเข้าน้ำมันสำเร็จรูป,https://data.doeb.go.th/th/dataset/s7,ปริมาณการนำเข้าน้ำมันสำเร็จรูป ของผู้ค้าน้ำมันตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543,ดาวน์โหลด,https://data.doeb.go.th/dataset/446ad8c1-a2e1-437a-9e1a-15f25334ce05/resource/f150fb86-aeca-44e8-8acd-be3a9ae23a88/download/vw_opendata_045_i_fuel_sum_x_data_view.csv,C:\Users\lanovo\Downloads\DOEB data\doeb_first_page_downloads\files\ปริมาณการนำเข้าน้ำมันสำเร็จรูป\vw_opendata_045_i_fuel_sum_x_data_view.csv,200,22780,
ปริมาณการส่งออกน้ำมันสำเร็จรูป,https://data.doeb.go.th/th/dataset/s17,ปริมาณการส่งออกน้ำมันสำเร็จรูป ของผู้ค้าน้ำมันตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543,ดาวน์โหลด,https://data.doeb.go.th/dataset/28d5549b-60c1-4540-9911-52b2cead89d0/resource/876fa473-e37a-44eb-8b53-c30da11ef43d/download/vw_opendata_039_e_fuel_sum_data_view.csv,C:\Users\lanovo\Downloads\DOEB data\doeb_first_page_downloads\files\ปริมาณการส่งออกน้ำมันสำเร็จรูป\vw_opendata_039_e_fuel_sum_data_view.csv,200,23594,
มูลค่าการนำเข้าน้ำมันสำเร็จรูป,https://data.doeb.go.th/th/dataset/s19,มูลค่าการนำเข้าน้ำมันสำเร็จรูป ของผู้ค้าน้ำมันตามาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543,ดาวน์โหลด,https://data.doeb.go.th/dataset/bb941928-5be0-480e-990a-69bdec98274a/resource/54bac193-a7ad-4734-8a80-e6e3413bacbb/download/vw_opendata_037_i_fuel_value_data_view.csv,C:\Users\lanovo\Downloads\DOEB data\doeb_first_page_downloads\files\มูลค่าการนำเข้าน้ำมันสำเร็จรูป\vw_opendata_037_i_fuel_value_data_view.csv,200,23702,
ปริมาณการใช้น้ำมันสำเร็จรูป,https://data.doeb.go.th/th/dataset/s10,ปริมาณการใช้น้ำมันสำเร็จรูป ได้แก่ น้ำมันกลุ่มดีเซล กลุ่มเบนซิน กลุ่มน้ำมันเตา ก๊าซปิโตรเลียมเหลว น้ำมันก๊าด กลุ่มน้ำมันอากาศยาน และน้ำมันชนิดอื่นๆ ของผู้ค้าน้ำมันตามมาตรา 7...,ดาวน์โหลด,https://data.doeb.go.th/dataset/38639b9d-8760-41c6-b91d-1a48a85aa61e/resource/893bc67a-07d9-410e-9406-067c7e097346/download/8.sale_2535-2567.xls,C:\Users\lanovo\Downloads\DOEB data\doeb_first_page_downloads\files\ปริมาณการใช้น้ำมันสำเร็จรูป\8.sale_2535-2567.xls,200,105472,
ราคาการนำเข้าน้ำมันสำเร็จรูป,https://data.doeb.go.th/th/dataset/s22,ราคาการนำเข้าน้ำมันสำเร็จรูป ที่ได้จากการนำเข้าของผู้ค้าน้ำมันตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543 ซึ่งเป็นราคาเฉลี่ยที่ได้การการน้ำเข้าจริง...,ดาวน์โหลด,https://data.doeb.go.th/dataset/7aa42839-cfe4-4383-a1ed-f85fb42ff9ad/resource/5534c37f-9542-49ce-95bc-997a2d840800/download/34-2564.xlsx,C:\Users\lanovo\Downloads\DOEB data\doeb_first_page_downloads\files\ราคาการนำเข้าน้ำมันสำเร็จรูป\34-2564.xlsx,200,22069,
ราคาการนำเข้าน้ำมันสำเร็จรูป,https://data.doeb.go.th/th/dataset/s22,ราคาการนำเข้าน้ำมันสำเร็จรูป ที่ได้จากการนำเข้าของผู้ค้าน้ำมันตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543 ซึ่งเป็นราคาเฉลี่ยที่ได้การการน้ำเข้าจริง...,ดาวน์โหลด,https://data.doeb.go.th/dataset/7aa42839-cfe4-4383-a1ed-f85fb42ff9ad/resource/a1b1993f-eec9-4965-8f40-d6b3d4746e10/download/34-2565.xlsx,C:\Users\lanovo\Downloads\DOEB data\doeb_first_page_downloads\files\ราคาการนำเข้าน้ำมันสำเร็จรูป\34-2565.xlsx,200,21544,
ราคาการนำเข้าน้ำมันสำเร็จรูป,https://data.doeb.go.th/th/dataset/s22,ราคาการนำเข้าน้ำมันสำเร็จรูป ที่ได้จากการนำเข้าของผู้ค้าน้ำมันตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543 ซึ่งเป็นราคาเฉลี่ยที่ได้การการน้ำเข้าจริง...,ดาวน์โหลด,https://data.doeb.go.th/dataset/7aa42839-cfe4-4383-a1ed-f85fb42ff9ad/resource/515eb811-873b-4862-93b5-f90b5b6f68dc/download/34-2566.xlsx,C:\Users\lanovo\Downloads\DOEB data\doeb_first_page_downloads\files\ราคาการนำเข้าน้ำมันสำเร็จรูป\34-2566.xlsx,200,21318,
ราคาการนำเข้าน้ำมันสำเร็จรูป,https://data.doeb.go.th/th/dataset/s22,ราคาการนำเข้าน้ำมันสำเร็จรูป ที่ได้จากการนำเข้าของผู้ค้าน้ำมันตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543 ซึ่งเป็นราคาเฉลี่ยที่ได้การการน้ำเข้าจริง...,ดาวน์โหลด,https://data.doeb.go.th/dataset/7aa42839-cfe4-4383-a1ed-f85fb42ff9ad/resource/8633da25-67dc-41d9-86c5-7ab93c1f4c35/download/untitled.xlsx,C:\Users\lanovo\Downloads\DOEB data\doeb_first_page_downloads\files\ราคาการนำเข้าน้ำมันสำเร็จรูป\untitled.xlsx,200,29407,
มูลค่าการส่งออกน้ำมันสำเร็จรูป,https://data.doeb.go.th/th/dataset/s20,มูลค่าการส่งออกน้ำมันสำเร็จรูป ของผู้ค้าน้ำมันตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543,ดาวน์โหลด,https://data.doeb.go.th/dataset/56eb06bb-e9ca-4a7d-8414-49e86f6a27b9/resource/ec879ace-e495-42d9-b6cf-a41ee7d0c07b/download/033.csv,C:\Users\lanovo\Downloads\DOEB data\doeb_first_page_downloads\files\มูลค่าการส่งออกน้ำมันสำเร็จรูป\033.csv,200,20433,
