"SUBJECT","YEAR_ID","MONTH_ID","BALANCE_VALUE","UNIT","DATAOWNER"
"มูลค่าการนำเข้าน้ำมันดิบ",2559,1,37607,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2559,2,27038.1,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2559,3,30497,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2559,4,44098.8,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2559,5,35339.5,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2559,6,38184.9,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2559,7,47816.7,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2559,8,37151.1,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2559,9,44492,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2559,10,44520.2,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2559,11,46934.3,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2559,12,52741.7,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2560,1,63145.1,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2560,2,41865.3,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2560,3,51318,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2560,4,51881.5,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2560,5,48127.8,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2560,6,46738.1,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2560,7,50143.3,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2560,8,46784.7,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2560,9,52289.7,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2560,10,57274.3,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2560,11,61287.2,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2560,12,55029.3,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2561,1,71055.2,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2561,2,61654.4,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2561,3,57642.6,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2561,4,69812.8,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2561,5,65422.7,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2561,6,63486.8,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2561,7,81389.1,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2561,8,73628.5,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
"มูลค่าการนำเข้าน้ำมันดิบ",2561,9,65914.4,"ล้านบาทต่อเดือน","กรมธุรกิจพลังงาน"
