SUBJECT,YEAR_ID,MONTH_ID,BALANCE_VALUE,UNIT,DATAOWNER
มูลค่านำเข้าน้ำมันสำเร็จรูป,2559,1,2385.687,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2559,2,2912.478,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2559,3,6159.148,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2559,4,4504.431,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2559,5,5047.423,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2559,6,3685.489,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2559,7,1646.172,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2559,8,2618.437,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2559,9,2465.788,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2559,10,2917.446,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2559,11,1608.662,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2559,12,3114.772,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2560,1,2847.315,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2560,2,3977.53,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2560,3,6718.115,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2560,4,6082.744,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2560,5,5723.593,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2560,6,3948.947,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2560,7,3227.55,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
มูลค่านำเข้าน้ำมันสำเร็จรูป,2560,8,4260.454,ล้านบาทต่อเดือน,กรมธุรกิจพลังงาน
