"SUBJECT","YEAR_ID","MONTH_ID","QTY","UNIT","DATAOWNER"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2550,1,30627000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2550,2,29424000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2550,3,35506000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2550,4,30812000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2550,5,35305000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2550,6,34426000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2550,7,19952000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2550,8,20270000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2550,9,21010000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2550,10,57381000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2550,11,54198000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2550,12,30489,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2551,1,29033000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2551,2,32302000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2551,3,36209000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2551,4,25678000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2551,5,30752000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2551,6,29703000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2551,7,32170000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2551,8,32904000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2551,9,32835000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2551,10,31728000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2551,11,26469000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2551,12,23954000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2552,1,11959000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2552,2,25063170,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2552,3,24588120,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2552,4,28483120,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2552,5,33424987,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2552,6,33259000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2552,7,31839000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2552,8,34883000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2552,9,33234000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2552,10,36007330,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2552,11,33623470,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2552,12,22950770,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2553,1,28262000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2553,2,32813000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2553,3,25094000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2553,4,32477000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2553,5,34624000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2553,6,30996000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2553,7,33369000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2553,8,31400000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2553,9,33035320,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2553,10,31249270,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2553,11,28175000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2553,12,30305380,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2554,1,22877310,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2554,2,26280000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2554,3,30920000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2554,4,31044000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2554,5,38230120,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2554,6,41559980,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2554,7,42402660,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2554,8,43768000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2554,9,38186000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2554,10,30066370,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2554,11,29082910,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2554,12,22738810,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2555,1,25378466,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2555,2,37415000,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2555,3,48645490,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2555,4,27234900,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2555,5,34312271,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2555,6,40362038,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2555,7,37257205,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2555,8,35336866,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2555,9,35648481,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2555,10,37837003,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2555,11,41626318,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG)",2555,12,38031450,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
