"SUBJECT","YEAR_ID","MONTH_ID","DETAIL_NAME_THAI","COUNTRY","QTY","UNIT","DATAOWNER"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2541,8,"ก๊าซธรรมชาติ","ไม่ระบุ",324,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2541,10,"ก๊าซธรรมชาติ","ไม่ระบุ",137,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2541,11,"ก๊าซธรรมชาติ","ไม่ระบุ",246,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2541,12,"ก๊าซธรรมชาติ","ไม่ระบุ",82,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2542,2,"ก๊าซธรรมชาติ","ไม่ระบุ",164.2,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2542,9,"ก๊าซธรรมชาติ","ไม่ระบุ",70.2,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2542,11,"ก๊าซธรรมชาติ","ไม่ระบุ",0.3,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2542,12,"ก๊าซธรรมชาติ","ไม่ระบุ",0.4,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2543,1,"ก๊าซธรรมชาติ","เมียนมา",2190,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2543,2,"ก๊าซธรรมชาติ","เมียนมา",2002,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2543,3,"ก๊าซธรรมชาติ","เมียนมา",1420,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2543,4,"ก๊าซธรรมชาติ","เมียนมา",713,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2543,5,"ก๊าซธรรมชาติ","เมียนมา",3978,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติ (NG)",2543,6,"ก๊าซธรรมชาติ","เมียนมา",5060,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
