"SUBJECT","YEAR_ID","MONTH_ID","DETAIL_NAME_THAI","COUNTRY","QTY","UNIT","DATAOWNER"
"ปริมาณการนำเข้าก๊าซธรรมชาติเหลว (LNG)",2554,5,"ก๊าซธรรมชาติเหลว (LNG)","กาตาร์",2901.7,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติเหลว (LNG)",2554,6,"ก๊าซธรรมชาติเหลว (LNG)","กาตาร์",3802.9,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติเหลว (LNG)",2554,6,"ก๊าซธรรมชาติเหลว (LNG)","รัสเซีย",3452.7,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติเหลว (LNG)",2554,7,"ก๊าซธรรมชาติเหลว (LNG)","อินโดนีเซีย",3147,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติเหลว (LNG)",2554,7,"ก๊าซธรรมชาติเหลว (LNG)","เปรู",3440,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติเหลว (LNG)",2554,8,"ก๊าซธรรมชาติเหลว (LNG)","กาตาร์",6305,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติเหลว (LNG)",2554,8,"ก๊าซธรรมชาติเหลว (LNG)","ไนจีเรีย",2906,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติเหลว (LNG)",2554,9,"ก๊าซธรรมชาติเหลว (LNG)","เปรู",3580.8,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติเหลว (LNG)",2554,10,"ก๊าซธรรมชาติเหลว (LNG)","ไนจีเรีย",3015,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติเหลว (LNG)",2554,11,"ก๊าซธรรมชาติเหลว (LNG)","เปรู",3131,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติเหลว (LNG)",2555,1,"ก๊าซธรรมชาติเหลว (LNG)","เปรู",3562,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติเหลว (LNG)",2555,2,"ก๊าซธรรมชาติเหลว (LNG)","เยเมน",3364,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติเหลว (LNG)",2555,3,"ก๊าซธรรมชาติเหลว (LNG)","ไนจีเรีย",2904.4,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติเหลว (LNG)",2555,3,"ก๊าซธรรมชาติเหลว (LNG)","เปรู",3255.8,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าก๊าซธรรมชาติเหลว (LNG)",2555,5,"ก๊าซธรรมชาติเหลว (LNG)","เปรู",3550,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
