"SUBJECT","YEAR_ID","MONTH_ID","DETAIL_NAME_THAI","QTY","UNIT","DATAOWNER"
"ปริมาณการนำเข้าบิวเทน",2551,4,"บิวเทน",10.5,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2551,7,"บิวเทน",52.1,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2551,8,"บิวเทน",30,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2551,9,"บิวเทน",29.8,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2551,10,"บิวเทน",30.5,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2551,11,"บิวเทน",48,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2552,1,"บิวเทน",10,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2552,3,"บิวเทน",11.5,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2552,4,"บิวเทน",9.5,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2552,5,"บิวเทน",33,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2552,6,"บิวเทน",24,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2552,7,"บิวเทน",33.4,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2552,8,"บิวเทน",45.2,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2552,9,"บิวเทน",47,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2552,10,"บิวเทน",58.6,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2552,11,"บิวเทน",55.1,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2552,12,"บิวเทน",61.7,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2553,1,"บิวเทน",54.9,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2553,2,"บิวเทน",55.1,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2553,3,"บิวเทน",60.4,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2553,4,"บิวเทน",58.6,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2553,5,"บิวเทน",89.4,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2553,6,"บิวเทน",63,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2553,7,"บิวเทน",46,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2553,8,"บิวเทน",67.7,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2553,9,"บิวเทน",69,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2553,10,"บิวเทน",68,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2553,11,"บิวเทน",69.1,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2553,12,"บิวเทน",77.2,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2554,1,"บิวเทน",57.6,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2554,2,"บิวเทน",59.2,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2554,3,"บิวเทน",44.1,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2554,4,"บิวเทน",33.8,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2554,5,"บิวเทน",52.5,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2554,6,"บิวเทน",71,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2554,7,"บิวเทน",66.2,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2554,8,"บิวเทน",81,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2554,9,"บิวเทน",52.6,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2554,10,"บิวเทน",71.8,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2554,11,"บิวเทน",43.9,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2554,12,"บิวเทน",57.3,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2555,1,"บิวเทน",58.3,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2555,2,"บิวเทน",80,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2555,3,"บิวเทน",85.1,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2555,4,"บิวเทน",85.1,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2555,5,"บิวเทน",58.1,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2555,6,"บิวเทน",67.7,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2555,7,"บิวเทน",54.6,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2555,8,"บิวเทน",103.1,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2555,9,"บิวเทน",91.1,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2555,10,"บิวเทน",70.4,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2555,11,"บิวเทน",69.9,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2555,12,"บิวเทน",57.7,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2556,1,"บิวเทน",46.3,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2556,2,"บิวเทน",92.7,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2556,3,"บิวเทน",68.6,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2556,4,"บิวเทน",57.8,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2556,5,"บิวเทน",91.9,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2556,6,"บิวเทน",93.3,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2556,7,"บิวเทน",69.3,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2556,8,"บิวเทน",91.3,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2556,9,"บิวเทน",92.4,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2556,10,"บิวเทน",98.2,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2556,11,"บิวเทน",78.5,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2556,12,"บิวเทน",68.8,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2557,1,"บิวเทน",90.5,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2557,2,"บิวเทน",89.2,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2557,3,"บิวเทน",69.2,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2557,4,"บิวเทน",81.2,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2557,5,"บิวเทน",81.6,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2557,6,"บิวเทน",91.3,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2557,7,"บิวเทน",92.3,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2557,8,"บิวเทน",70.5,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2557,9,"บิวเทน",90.4,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2557,10,"บิวเทน",93.3,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2557,11,"บิวเทน",66.7,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2557,12,"บิวเทน",92.3,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2558,1,"บิวเทน",69.2,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2558,2,"บิวเทน",46.7,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2558,3,"บิวเทน",46.6,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2558,4,"บิวเทน",46.2,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2558,5,"บิวเทน",46.9,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2558,6,"บิวเทน",69.9,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2558,7,"บิวเทน",70.2,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2558,8,"บิวเทน",58.7,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2558,9,"บิวเทน",46.6,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2558,10,"บิวเทน",11.8,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2558,11,"บิวเทน",47,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2558,12,"บิวเทน",23,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2559,1,"บิวเทน",23.5,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2559,2,"บิวเทน",21.9,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2559,3,"บิวเทน",11.1,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2559,4,"บิวเทน",32.6,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2559,5,"บิวเทน",23.2,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2559,6,"บิวเทน",22.3,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2559,8,"บิวเทน",22,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2559,9,"บิวเทน",22.8,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2559,10,"บิวเทน",23,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2559,12,"บิวเทน",11.6,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2560,1,"บิวเทน",21.3,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2560,2,"บิวเทน",11.9,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2560,3,"บิวเทน",22.1,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2560,4,"บิวเทน",11.5,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2560,5,"บิวเทน",5.2,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2560,6,"บิวเทน",11,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2560,7,"บิวเทน",53.7,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2560,8,"บิวเทน",11.6,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2560,9,"บิวเทน",19.7,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2560,10,"บิวเทน",24.3,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2560,11,"บิวเทน",22.8,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2560,12,"บิวเทน",11.2,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2561,1,"บิวเทน",11.8,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2561,2,"บิวเทน",11,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2561,3,"บิวเทน",43.5,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2561,4,"บิวเทน",10.4,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2561,5,"บิวเทน",10.9,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2561,6,"บิวเทน",10.7,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2561,7,"บิวเทน",11.7,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าบิวเทน",2561,8,"บิวเทน",10.9,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
