dataset_title,dataset_url,dataset_description,resource_label,download_url,saved_path,http_status,bytes,error
ปริมาณการนำเข้าโปรเพน,https://data.doeb.go.th/dataset/s3,ปริมาณการนำเข้าโปรเพน ของผู้ค้าน้ำมันตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543,ปริมาณการนำเข้าโปรเพนCSV,https://data.doeb.go.th/dataset/dd2e3d0e-9a08-4c43-8671-a4bb70b9aae7/resource/2a0a3582-8e88-4f1a-a23f-97a88984b5d3/download/untitled.xls,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\ปริมาณการนำเข้าโปรเพน\untitled.xls,200,66048,
ปริมาณการนำเข้าโปรเพน,https://data.doeb.go.th/dataset/s3,ปริมาณการนำเข้าโปรเพน ของผู้ค้าน้ำมันตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543,ปริมาณการนำเข้าโพรเพนXLS,https://data.doeb.go.th/dataset/dd2e3d0e-9a08-4c43-8671-a4bb70b9aae7/resource/12d57500-63d7-4166-8078-2c9a88d0e288/download/popane.xlsx,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\ปริมาณการนำเข้าโปรเพน\popane.xlsx,200,8915,
ปริมาณการนำเข้าบิวเทน,https://data.doeb.go.th/dataset/s4,ปริมาณการนำเข้าบิวเทน ของผู้ค้าน้ำมันตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543,ปริมาณการนำเข้าบิวเทนCSV,https://data.doeb.go.th/dataset/d9823b50-d2ba-4850-b933-4c4d0fc4802c/resource/be23cb21-e2dc-4837-a85e-402ec021e270/download/vw_opendata_048_i_butane_data_view.csv,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\ปริมาณการนำเข้าบิวเทน\vw_opendata_048_i_butane_data_view.csv,200,37876,
ปริมาณการนำเข้าน้ำมันสำเร็จรูป,https://data.doeb.go.th/dataset/s7,ปริมาณการนำเข้าน้ำมันสำเร็จรูป ของผู้ค้าน้ำมันตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543,ปริมาณการนำเข้าน้ำมันสำเร็จรูปCSV,https://data.doeb.go.th/dataset/446ad8c1-a2e1-437a-9e1a-15f25334ce05/resource/f150fb86-aeca-44e8-8acd-be3a9ae23a88/download/vw_opendata_045_i_fuel_sum_x_data_view.csv,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\ปริมาณการนำเข้าน้ำมันสำเร็จรูป\vw_opendata_045_i_fuel_sum_x_data_view.csv,200,22780,
มูลค่าการนำเข้าน้ำมันดิบ,https://data.doeb.go.th/dataset/s18,มูลค่าการนำเข้าน้ำมันดิบ ของผู้ค้าน้ำมันตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543,มูลค่าการนำเข้าน้ำมันดิบCSV,https://data.doeb.go.th/dataset/e13b50da-b595-4a3e-b6b4-eab7b6253e54/resource/387aed14-75b5-4223-81e4-37c8a0e10c9a/download/vw_opendata_038_i_crude_value_data_view.csv,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\มูลค่าการนำเข้าน้ำมันดิบ\vw_opendata_038_i_crude_value_data_view.csv,200,21547,
มูลค่าการนำเข้าน้ำมันสำเร็จรูป,https://data.doeb.go.th/dataset/s19,มูลค่าการนำเข้าน้ำมันสำเร็จรูป ของผู้ค้าน้ำมันตามาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543,มูลค่าการนำเข้าน้ำมันสำเร็จรูปCSV,https://data.doeb.go.th/dataset/bb941928-5be0-480e-990a-69bdec98274a/resource/54bac193-a7ad-4734-8a80-e6e3413bacbb/download/vw_opendata_037_i_fuel_value_data_view.csv,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\มูลค่าการนำเข้าน้ำมันสำเร็จรูป\vw_opendata_037_i_fuel_value_data_view.csv,200,23702,
ปริมาณการนำเข้าก๊าซธรรมชาติ รวม NG และ LNG,https://data.doeb.go.th/dataset/s23,ปริมาณการนำเข้าก๊าซธรรมชาติ (รวม NG และ LNG) โดยจำแนกการนำเข้าเป็นรายประเทศ,ปริมาณการนําเข้า ก๊าซธรรมชาติ (รวม NG และ LNG)CSV,https://data.doeb.go.th/dataset/c6889e2b-3e93-41eb-9503-772d239d8846/resource/8645e54e-0375-47fa-8f03-94767173b21d/download/vw_opendata_036_data_view.csv,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\ปริมาณการนำเข้าก๊าซธรรมชาติ รวม NG และ LNG\vw_opendata_036_data_view.csv,200,50717,
ปริมาณการนำเข้าก๊าซธรรมชาติ,https://data.doeb.go.th/dataset/s24,ปริมาณการนำเข้าก๊าซธรรมชาติ (NG) ของผู้ค้าน้ำมันตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543 โดยมีการจำแนกการน้ำเข้ารายประเทศ,ปริมาณการนำเข้าก๊าซธรรมชาติ จำแนกตามประเทศCSV,https://data.doeb.go.th/dataset/2ebb64dc-f9f2-4890-a3bc-4eb0ea620e19/resource/ebe0326d-04fd-46f8-b034-dd7119b25978/download/vw_opendata_032_i_ng_data_view.csv,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\ปริมาณการนำเข้าก๊าซธรรมชาติ\vw_opendata_032_i_ng_data_view.csv,200,86440,
ปริมาณการนำเข้าก๊าซธรรมชาติเหลว,https://data.doeb.go.th/dataset/s25,ปริมาณการนำเข้าก๊าซธรรมชาติเหลว (LNG) ของผู้ค้าน้ำมันตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543 โดยมีการจำแนกการน้ำเข้าเป็นรายประเทศ,ปริมาณการนำเข้าก๊าซธรรมชาติเหลวตามประเทศCSV,https://data.doeb.go.th/dataset/6bdcdf03-25cd-4048-b9dd-4bc2e6f6ef21/resource/a108070a-e5f8-478a-8e16-0ee707e9645a/download/vw_opendata_031_i_lng_data_view.csv,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\ปริมาณการนำเข้าก๊าซธรรมชาติเหลว\vw_opendata_031_i_lng_data_view.csv,200,174096,
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,https://data.doeb.go.th/dataset/s6,ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ เพื่อใช้ในการผลิตน้ำมันสำเร็จรูป ของผู้ค้าน้ำมันตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543,ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบCSV,https://data.doeb.go.th/dataset/cc953a16-9ac9-4d04-8be3-2d14595a746a/resource/694989fd-34db-4765-ab97-e45c247eead3/download/untitled.csv,C:\Users\lanovo\Downloads\DOEB data\การนำเข้าน้ำมัน\files\ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ\untitled.csv,200,15804,
