dataset_title,dataset_url,dataset_description,resource_label,download_url,saved_path,http_status,bytes,error
ปริมาณการส่งออกก๊าซโซลีนธรรมชาติ,https://data.doeb.go.th/dataset/s15,ปริมาณการส่งออกก๊าซโซลีนธรรมชาติ (NGL) ของผู้ค้าน้ำมันตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543,ปริมาณการส่งออกก๊าซโซลีนธรรมชาติCSV,https://data.doeb.go.th/dataset/65e43e1f-0a5b-49c5-9540-294fc68fc70c/resource/775b839f-dc00-4ef2-8b0b-30ef2d8250ae/download/vw_opendata_041_e_naturalgas_data_view.csv,C:\Users\lanovo\Downloads\DOEB data\การส่งออกน้ำมัน\files\ปริมาณการส่งออกก๊าซโซลีนธรรมชาติ\vw_opendata_041_e_naturalgas_data_view.csv,200,41888,
ปริมาณการส่งออกน้ำมันสำเร็จรูป,https://data.doeb.go.th/dataset/s17,ปริมาณการส่งออกน้ำมันสำเร็จรูป ของผู้ค้าน้ำมันตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543,ปริมาณการส่งออกน้ำมันสำเร็จรูปCSV,https://data.doeb.go.th/dataset/28d5549b-60c1-4540-9911-52b2cead89d0/resource/876fa473-e37a-44eb-8b53-c30da11ef43d/download/vw_opendata_039_e_fuel_sum_data_view.csv,C:\Users\lanovo\Downloads\DOEB data\การส่งออกน้ำมัน\files\ปริมาณการส่งออกน้ำมันสำเร็จรูป\vw_opendata_039_e_fuel_sum_data_view.csv,200,23594,
มูลค่าการส่งออกน้ำมันสําเร็จรูป,https://data.doeb.go.th/dataset/oil-price-export,มูลค่าการส่งออกน้ำมันสําเร็จรูป โดยข้อมูลผู้ค้าน้ำมัน ตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ.2543,มูลค่าการส่งออกน้ำมันสำเร็จรูปXLSX,https://data.doeb.go.th/dataset/d8d8cda0-4d0f-4fa7-bce6-ff8602b2f867/resource/935e9890-774e-4edb-8293-9ec985c1af46/download/untitled.xlsx,C:\Users\lanovo\Downloads\DOEB data\การส่งออกน้ำมัน\files\มูลค่าการส่งออกน้ำมันสําเร็จรูป\untitled.xlsx,200,13133,
ปริมาณการส่งออกน้ำมันเชื้อเพลิง,https://data.doeb.go.th/dataset/s16,ปริมาณการส่งออกน้ำมันเชื้อเพลิง ของผู้ค้าน้ำมันตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543,การส่งออกน้ำมันเชื้อเพลิง 2535 - ปัจจุบันXLS,https://data.doeb.go.th/dataset/2e391638-e55e-4fa3-950b-2c3fb6a9fd29/resource/77247481-0f1a-418e-bc04-e528d1b7f33d/download/9.new_export_2535-2567.xls,C:\Users\lanovo\Downloads\DOEB data\การส่งออกน้ำมัน\files\ปริมาณการส่งออกน้ำมันเชื้อเพลิง\9.new_export_2535-2567.xls,200,95232,
การส่งออกน้ำมันเชื้อเพลิง ตั้งแต่ปี 2535 จนถึงปัจจุบัน,https://data.doeb.go.th/dataset/export_2535_current,ปริมาณการส่งออกน้ำมันเชื้อเพลิง ตั้งแต่ปี 2535 จนถึงปัจจุบัน (ข้อมูลจำแนกเป็นรายปี),การส่งออกน้ำมันเชื้อเพลิง ปี 2535 - ปัจจุบันXLS,https://data.doeb.go.th/dataset/eca96ac7-8892-4406-803d-67debdcb724e/resource/9059e72c-d98e-4435-be5c-223701e5c51d/download/9.new_export_2535-2567.xls,C:\Users\lanovo\Downloads\DOEB data\การส่งออกน้ำมัน\files\การส่งออกน้ำมันเชื้อเพลิง ตั้งแต่ปี 2535 จนถึงปัจจุบัน\9.new_export_2535-2567.xls,200,95232,
มูลค่าการส่งออกน้ำมันสำเร็จรูป,https://data.doeb.go.th/dataset/s20,มูลค่าการส่งออกน้ำมันสำเร็จรูป ของผู้ค้าน้ำมันตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543,มูลค่าการส่งออกน้ำมันสำเร็จรูปCSV,https://data.doeb.go.th/dataset/56eb06bb-e9ca-4a7d-8414-49e86f6a27b9/resource/ec879ace-e495-42d9-b6cf-a41ee7d0c07b/download/033.csv,C:\Users\lanovo\Downloads\DOEB data\การส่งออกน้ำมัน\files\มูลค่าการส่งออกน้ำมันสำเร็จรูป\033.csv,200,20433,
ปริมาณการส่งออกน้ำมันสําเร็จรูป,https://data.doeb.go.th/dataset/oil-export,ปริมาณการส่งออกน้ำมันมันสําเร็จรูป โดยข้อมูลผู้ค้าน้ำมัน ตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ.2543,ปริมาณการส่งออกน้ำมันสําเร็จรูปXLSX,https://data.doeb.go.th/dataset/64138e4e-05bb-4dcc-891c-f64e28808ba0/resource/2f92253f-e71d-4bf7-bfa0-35fa88c6b03f/download/39.xlsx,C:\Users\lanovo\Downloads\DOEB data\การส่งออกน้ำมัน\files\ปริมาณการส่งออกน้ำมันสําเร็จรูป\39.xlsx,200,12733,
การส่งออกน้ำมันเชื้อเพลิง เปรียบเทียบ 1 ปีย้อนหลัง,https://data.doeb.go.th/dataset/export_1year_ago,ปริมาณการส่งออกน้ำมันเชื้อเพลิง เปรียบเทียบ 1 ปีย้อนหลัง (ข้อมูลจำแนกเป็นรายเดือน),การส่งออกน้ำมันเชื้อเพลิง ปี 2565-2566 (มิถุนายน 2566)XLS,https://data.doeb.go.th/dataset/3133e821-f44c-4765-8427-38a0168a66be/resource/d1ee018e-be2b-434c-9e58-2424f7586582/download/14.export_month_2565-2566_june.xls,C:\Users\lanovo\Downloads\DOEB data\การส่งออกน้ำมัน\files\การส่งออกน้ำมันเชื้อเพลิง เปรียบเทียบ 1 ปีย้อนหลัง\14.export_month_2565-2566_june.xls,200,1333760,
การส่งออกน้ำมันเชื้อเพลิง เปรียบเทียบ 1 ปีย้อนหลัง,https://data.doeb.go.th/dataset/export_1year_ago,ปริมาณการส่งออกน้ำมันเชื้อเพลิง เปรียบเทียบ 1 ปีย้อนหลัง (ข้อมูลจำแนกเป็นรายเดือน),การส่งออกน้ำมันเชื้อเพลิง ปี 2565-2566 (กรกฎาคม 2566)XLS,https://data.doeb.go.th/dataset/3133e821-f44c-4765-8427-38a0168a66be/resource/4af844e7-2b7d-4ad3-9d4d-f16760b749a0/download/5.export_1year_ago_july66.xls,C:\Users\lanovo\Downloads\DOEB data\การส่งออกน้ำมัน\files\การส่งออกน้ำมันเชื้อเพลิง เปรียบเทียบ 1 ปีย้อนหลัง\5.export_1year_ago_july66.xls,200,1332736,
สรุปการผลิต นำเข้า จำหน่าย และส่งออกน้ำมันเชื้อเพลิง ประจำเดือน,https://data.doeb.go.th/dataset/report_month,รายงานสรุปปริมาณการผลิต นำเข้า จำหน่าย และส่งออกน้ำมันเชื้อเพลิง ประจำเดือน,สรุปการผลิต นำเข้า จำหน่าย และส่งออกน้ำมันเชื้อเพลิง เดือนมิถุนายน 2566XLS,https://data.doeb.go.th/dataset/a5d0bb52-0acd-40b2-a762-e604ba44757b/resource/a64579a7-d06b-45be-aa05-b915a08115cf/download/1.report_june_2566.xls,C:\Users\lanovo\Downloads\DOEB data\การส่งออกน้ำมัน\files\สรุปการผลิต นำเข้า จำหน่าย และส่งออกน้ำมันเชื้อเพลิง ประจำเดือน\1.report_june_2566.xls,200,7186944,
