dataset_title,dataset_url,dataset_description,resource_label,download_url,saved_path,http_status,bytes,error
มูลค่าการนำเข้าน้ำมันดิบ,https://data.doeb.go.th/dataset/s18,มูลค่าการนำเข้าน้ำมันดิบ ของผู้ค้าน้ำมันตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543,มูลค่าการนำเข้าน้ำมันดิบCSV,https://data.doeb.go.th/dataset/e13b50da-b595-4a3e-b6b4-eab7b6253e54/resource/387aed14-75b5-4223-81e4-37c8a0e10c9a/download/vw_opendata_038_i_crude_value_data_view.csv,C:\Users\lanovo\Downloads\DOEB data\doeb_crude_oil_downloads\files\มูลค่าการนำเข้าน้ำมันดิบ\vw_opendata_038_i_crude_value_data_view.csv,200,21547,
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,https://data.doeb.go.th/dataset/s6,ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ เพื่อใช้ในการผลิตน้ำมันสำเร็จรูป ของผู้ค้าน้ำมันตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543,ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบCSV,https://data.doeb.go.th/dataset/cc953a16-9ac9-4d04-8be3-2d14595a746a/resource/694989fd-34db-4765-ab97-e45c247eead3/download/untitled.csv,C:\Users\lanovo\Downloads\DOEB data\doeb_crude_oil_downloads\files\ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ\untitled.csv,200,15804,
ราคาการนำเข้าน้ำมันดิบ,https://data.doeb.go.th/dataset/s21,ราคาการนำเข้าน้ำมันดิบ ที่มีการอ้างอิงจากราคากลางตลาดโลก,ราคาการนำเข้าน้ำมันดิบ ปี 2563XLSX,https://data.doeb.go.th/dataset/d28d9622-91ad-468f-adaa-b275cf57d336/resource/8c2ec335-8232-4e21-8d00-936bb8701846/download/35-2563.xlsx,C:\Users\lanovo\Downloads\DOEB data\doeb_crude_oil_downloads\files\ราคาการนำเข้าน้ำมันดิบ\35-2563.xlsx,200,9099,
ราคาการนำเข้าน้ำมันดิบ,https://data.doeb.go.th/dataset/s21,ราคาการนำเข้าน้ำมันดิบ ที่มีการอ้างอิงจากราคากลางตลาดโลก,ราคาการนำเข้าน้ำมันดิบ ปี 2564XLSX,https://data.doeb.go.th/dataset/d28d9622-91ad-468f-adaa-b275cf57d336/resource/532a0e37-e6a0-4901-9b52-eb9e2d1d4892/download/35-2564.xlsx,C:\Users\lanovo\Downloads\DOEB data\doeb_crude_oil_downloads\files\ราคาการนำเข้าน้ำมันดิบ\35-2564.xlsx,200,9098,
ราคาการนำเข้าน้ำมันดิบ,https://data.doeb.go.th/dataset/s21,ราคาการนำเข้าน้ำมันดิบ ที่มีการอ้างอิงจากราคากลางตลาดโลก,ราคาการนำเข้าน้ำมันดิบ ปี 2565XLSX,https://data.doeb.go.th/dataset/d28d9622-91ad-468f-adaa-b275cf57d336/resource/cef2c4da-5d74-4c95-82df-73b45a9bf6ef/download/35-2565.xlsx,C:\Users\lanovo\Downloads\DOEB data\doeb_crude_oil_downloads\files\ราคาการนำเข้าน้ำมันดิบ\35-2565.xlsx,200,9093,
ราคาการนำเข้าน้ำมันดิบ,https://data.doeb.go.th/dataset/s21,ราคาการนำเข้าน้ำมันดิบ ที่มีการอ้างอิงจากราคากลางตลาดโลก,ราคาการนำเข้าน้ำมันดิบ ปี 2566XLSX,https://data.doeb.go.th/dataset/d28d9622-91ad-468f-adaa-b275cf57d336/resource/e87efa41-6b36-413b-9728-b4dac3a022ee/download/35-2566.xlsx,C:\Users\lanovo\Downloads\DOEB data\doeb_crude_oil_downloads\files\ราคาการนำเข้าน้ำมันดิบ\35-2566.xlsx,200,9088,
ราคาการนำเข้าน้ำมันดิบ,https://data.doeb.go.th/dataset/s21,ราคาการนำเข้าน้ำมันดิบ ที่มีการอ้างอิงจากราคากลางตลาดโลก,ราคาการนำเข้าน้ำมันดิบ ปี 2567XLSX,https://data.doeb.go.th/dataset/d28d9622-91ad-468f-adaa-b275cf57d336/resource/5eae5621-eaee-421f-9677-b3b6d53c4e5a/download/untitled.xlsx,C:\Users\lanovo\Downloads\DOEB data\doeb_crude_oil_downloads\files\ราคาการนำเข้าน้ำมันดิบ\untitled.xlsx,200,9132,
มูลค่าการนําเข้าน้ำมันดิบ,https://data.doeb.go.th/dataset/crude-value,มูลค่าการนําเข้าน้ำมันดิบ โดยข้อมูลผู้ค้าน้ำมัน ตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ.2543,มูลค่าการนำเข้าน้ำมันดิบXLSX,https://data.doeb.go.th/dataset/61df10f0-395e-4029-88ce-135df8993957/resource/e5cd0162-96ae-422b-a512-3ae8896b902d/download/untitled.xlsx,C:\Users\lanovo\Downloads\DOEB data\doeb_crude_oil_downloads\files\มูลค่าการนําเข้าน้ำมันดิบ\untitled.xlsx,200,19259,
ปริมาณการใช้น้ำมันดิบและวัตถุดิบเข้าขบวนการกลั่น,https://data.doeb.go.th/dataset/s9,ปริมาณการใช้น้ำมันดิบและวัตถุดิบเข้าขบวนการกลั่น เพื่อผลิตเป็นน้ำมันสำเร็จรูป โดยผู้ค้าน้ำมันตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543,ปริมาณการใช้น้ำมันดิบและวัตถุดิบเข้ากระบวนการกลั่น ปี 2563XLSX,https://data.doeb.go.th/dataset/775b456e-939e-46ca-8b8f-b027ac118dcb/resource/752cb134-3aa3-4bb3-ac29-f02031041ae3/download/43-2563.xlsx,C:\Users\lanovo\Downloads\DOEB data\doeb_crude_oil_downloads\files\ปริมาณการใช้น้ำมันดิบและวัตถุดิบเข้าขบวนการกลั่น\43-2563.xlsx,200,9117,
ปริมาณการใช้น้ำมันดิบและวัตถุดิบเข้าขบวนการกลั่น,https://data.doeb.go.th/dataset/s9,ปริมาณการใช้น้ำมันดิบและวัตถุดิบเข้าขบวนการกลั่น เพื่อผลิตเป็นน้ำมันสำเร็จรูป โดยผู้ค้าน้ำมันตามมาตรา 7 แห่งพระราชบัญญัติการค้าน้ำมันเชื้อเพลิง พ.ศ. 2543,ปริมาณการใช้น้ำมันดิบและวัตถุดิบเข้ากระบวนการกลั่น ปี 2564XLSX,https://data.doeb.go.th/dataset/775b456e-939e-46ca-8b8f-b027ac118dcb/resource/e0117e86-3c78-47d1-8505-c6d741da2df3/download/43-2564.xlsx,C:\Users\lanovo\Downloads\DOEB data\doeb_crude_oil_downloads\files\ปริมาณการใช้น้ำมันดิบและวัตถุดิบเข้าขบวนการกลั่น\43-2564.xlsx,200,9122,
