SUBJECT,YEAR_ID,MONTH_ID,QTY,UNIT,DATAOWNER
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2551,1,4149.2,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2551,2,4095.5,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2551,3,4635.4,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2551,4,3839.5,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2551,5,4232.9,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2551,6,3556.8,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2551,7,3705.1,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2551,8,4088.8,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2551,9,3287.3,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2551,10,4026.4,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2551,11,3081.0,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2551,12,3965.6,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2552,1,3626.0,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2552,2,2750.7,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2552,3,4707.2,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2552,4,3957.7,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2552,5,3911.9,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2552,6,4165.0,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2552,7,3666.3,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2552,8,3665.7,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2552,9,4148.4,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2552,10,3807.0,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2552,11,3919.7,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2552,12,3351.9,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2553,1,3758.3,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2553,2,3694.1,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2553,3,3573.8,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2553,4,4478.6,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2553,5,3594.8,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2553,6,4166.1,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2553,7,3833.9,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2553,8,4059.6,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2553,9,3784.7,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2553,10,3661.2,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2553,11,4065.2,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2553,12,4414.7,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2554,1,3796.5,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2554,2,3207.6,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2554,3,3827.0,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2554,4,4147.5,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2554,5,4374.7,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2554,6,3627.7,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2554,7,4004.4,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2554,8,4504.5,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2554,9,3627.8,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2554,10,3540.9,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2554,11,3660.5,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2554,12,3624.8,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2555,1,4465.8,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2555,2,4439.0,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2555,3,4670.9,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2555,4,4240.0,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2555,5,4140.2,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2555,6,4137.3,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2555,7,3949.8,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2555,8,3881.2,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2555,9,3618.4,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2555,10,4277.6,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2555,11,3668.1,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2555,12,4230.4,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2556,1,4510.1,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2556,2,3931.8,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2556,3,4582.3,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2556,4,4327.6,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2556,5,3961.2,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2556,6,3893.0,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2556,7,3826.0,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2556,8,4774.3,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2556,9,3650.2,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2556,10,4343.7,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2556,11,4496.6,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2556,12,4077.4,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2557,1,4413.6,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2557,2,3910.4,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2557,3,3639.9,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2557,4,3765.1,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2557,5,4095.7,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2557,6,3283.8,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2557,7,3147.2,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2557,8,4022.6,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2557,9,4434.1,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2557,10,4016.8,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2557,11,4309.2,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2557,12,3671.7,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2558,1,4637.6,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2558,2,3073.9,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2558,3,4470.1,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2558,4,4453.2,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2558,5,4282.2,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2558,6,4780.3,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2558,7,4313.6,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2558,8,4181.4,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2558,9,3702.4,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2558,10,4775.3,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2558,11,3855.9,ล้านลิตร,กรมธุรกิจพลังงาน
ปริมาณการนำเข้าน้ำมันดิบและวัตถุดิบ,2558,12,4276.8,ล้านลิตร,กรมธุรกิจพลังงาน
