"SUBJECT","YEAR_ID","MONTH_ID","QTY","UNIT","DATAOWNER"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2559,1,123.05,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2559,2,223.98,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2559,3,492.39,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2559,4,307.47,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2559,5,331.97,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2559,6,223.05,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2559,7,134.77,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2559,8,163.67,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2559,9,136.59,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2559,10,159.88,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2559,11,112,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2559,12,179.22,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2560,1,136.27,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2560,2,190.23,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2560,3,378.36,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2560,4,355.64,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2560,5,379.99,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2560,6,226.93,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2560,7,145.3,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2560,8,220.72,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2560,9,87.8,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2560,10,222.67,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2560,11,191.12,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2560,12,151.4,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2561,1,238.95,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2561,2,215.41,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2561,3,150.74,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2561,4,224.04,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2561,5,397.22,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2561,6,240.39,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2561,7,120.27,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2561,8,120.38,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2561,9,62.37,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2561,10,161.37,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2561,11,110.79,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2561,12,173.48,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2562,1,177.69,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
"ปริมาณการนำเข้าน้ำมันสำเร็จรูป",2562,2,271.34,"พันลิตรต่อเดือน","กรมธุรกิจพลังงาน"
