Description,Date,Price,Unit,Category
Thailand (Diesel HSD B20 Premium) - Retail Price,2019-01-03,29.41,LCU (Local Currency Unit),Diesel
Thailand (Diesel HSD B20 Premium) - Retail Price,2019-02-03,29.84,LCU (Local Currency Unit),Diesel
Thailand (Diesel HSD B20 Premium) - Retail Price,2019-03-03,31.26,LCU (Local Currency Unit),Diesel
Thailand (Diesel HSD B20 Premium) - Retail Price,2019-04-03,31.48,LCU (Local Currency Unit),Diesel
Thailand (Diesel HSD B20 Premium) - Retail Price,2019-05-03,31.79,LCU (Local Currency Unit),Diesel
Thailand (Diesel HSD B20 Premium) - Retail Price,2019-06-03,30.1,LCU (Local Currency Unit),Diesel
Thailand (Diesel HSD B20 Premium) - Retail Price,2019-07-03,30.49,LCU (Local Currency Unit),Diesel
Thailand (Diesel HSD B20 Premium) - Retail Price,2019-08-03,29.91,LCU (Local Currency Unit),Diesel
Thailand (Diesel HSD B20 Premium) - Retail Price,2019-09-03,30.03,LCU (Local Currency Unit),Diesel
Thailand (Diesel HSD B20 Premium) - Retail Price,2019-10-03,29.75,LCU (Local Currency Unit),Diesel
Thailand (Diesel HSD B20 Premium) - Retail Price,2019-11-03,29.79,LCU (Local Currency Unit),Diesel
Thailand (Diesel HSD B20 Premium) - Retail Price,2019-12-03,30.49,LCU (Local Currency Unit),Diesel
Thailand (Diesel HSD B20 Premium) - Retail Price,2020-01-03,31.62,LCU (Local Currency Unit),Diesel
Thailand (Diesel HSD B20 Premium) - Retail Price,2020-02-03,30.52,LCU (Local Currency Unit),Diesel
Thailand (Diesel HSD B20 Premium) - Retail Price,2020-03-03,27.56,LCU (Local Currency Unit),Diesel
Thailand (Diesel HSD B20 Premium) - Retail Price,2020-04-03,24.32,LCU (Local Currency Unit),Diesel
Thailand (Diesel HSD B20 Premium) - Retail Price,2020-05-03,24.12,LCU (Local Currency Unit),Diesel
Thailand (Diesel HSD B20 Premium) - Retail Price,2020-06-03,26.9,LCU (Local Currency Unit),Diesel
Thailand (Diesel HSD B20 Premium) - Retail Price,2020-07-03,27.55,LCU (Local Currency Unit),Diesel
Thailand (Diesel HSD B20 Premium) - Retail Price,2020-08-03,27.1,LCU (Local Currency Unit),Diesel
Thailand (Diesel HSD B20 Premium) - Retail Price,2020-09-03,26.91,LCU (Local Currency Unit),Diesel
Thailand (Diesel HSD B20 Premium) - Retail Price,2020-10-03,27.22,LCU (Local Currency Unit),Diesel
Thailand (Diesel HSD B20 Premium) - Retail Price,2020-11-03,28.01,LCU (Local Currency Unit),Diesel
Thailand (Diesel HSD B20 Premium) - Retail Price,2020-12-03,29.52,LCU (Local Currency Unit),Diesel
Thailand (Diesel HSD B20 Premium) - Retail Price,2021-01-03,30.16,LCU (Local Currency Unit),Diesel
Thailand (Diesel HSD B20 Premium) - Retail Price,2021-02-03,31.76,LCU (Local Currency Unit),Diesel
